Package Namespace	Requiremets Type	Code	Requirement Statements	Files/Folders/ or Class/Methods Responible to deliver this requirements	Status	Notes on Status	Date Last Updated
`Nexus\Uom`	Architechtural Requirement	FR-UOM-A03	Provide descriptive domain-specific exceptions (IncompatibleUnitException, InvalidConversionRatioException)	packages/Uom/src/Exceptions/IncompatibleUnitException.php; packages/Uom/src/Exceptions/InvalidConversionRatioException.php; packages/Uom/src/Exceptions/UnitNotFoundException.php; packages/Uom/src/Exceptions/CircularConversionException.php			
`Nexus\Uom`	Architechtural Requirement	FR-UOM-A04	External libraries allowed if framework-agnostic and adhere to monorepo principles	packages/Uom/composer.json (only php ^8.2)			
`Nexus\Uom`	Architechtural Requirement	ARC-UOM-0027	All data structures defined via Value Objects and interfaces	packages/Uom/src/ValueObjects/Quantity.php; packages/Uom/src/ValueObjects/Dimension.php; packages/Uom/src/ValueObjects/Unit.php; packages/Uom/src/Contracts/UnitInterface.php; packages/Uom/src/Contracts/DimensionInterface.php			
`Nexus\Uom`	Architechtural Requirement	ARC-UOM-0028	Business logic MUST be in service layer (UomConversionEngine, UomValidationService)	packages/Uom/src/Services/UomConversionEngine.php; packages/Uom/src/Services/UomValidationService.php; packages/Uom/src/Services/UomManager.php			
`Nexus\Uom`	Architechtural Requirement	ARC-UOM-0029	All database migrations in application layer (apps/Atomy)	apps/Atomy/database/migrations/2025_11_17_200000_create_uom_tables.php			
`Nexus\Uom`	Architechtural Requirement	ARC-UOM-0030	All Eloquent models in application layer	apps/Atomy/app/Models/Unit.php; apps/Atomy/app/Models/Dimension.php; apps/Atomy/app/Models/UnitConversion.php; apps/Atomy/app/Models/UnitSystem.php			
`Nexus\Uom`	Architechtural Requirement	ARC-UOM-0031	Repository implementations in application layer	apps/Atomy/app/Repositories/DbUomRepository.php			
`Nexus\Uom`	Architechtural Requirement	ARC-UOM-0032	IoC container bindings in application service provider	apps/Atomy/app/Providers/UomServiceProvider.php::register()				
`Nexus\Crm`	Business Requirements	BUS-CRM-0037	Users cannot self-assign leads (configurable)				
`Nexus\FieldService`	Business Requirements	BUS-FIE-0038	Work order must have a customer and service location				
`Nexus\Manufacturing`	Business Requirements	BUS-MAN-0039	A BOM must have at least one component				
`Nexus\Marketing`	Business Requirements	BUS-MAR-0040	Campaigns cannot target same lead more than once per day (configurable)				
`Nexus\Procurement`	Business Requirements	BUS-PRO-0041	A requisition MUST have at least one line item				
`Nexus\ProjectManagement`	Business Requirements	BUS-PRO-0042	A project MUST have a project manager assigned				
`Nexus\Sequencing`	Business Requirements	BUS-SEQ-0043	The sequence name/ID is unique per scope_identifier (composite key)	apps/Atomy/database/migrations/*::unique(['name', 'scope_identifier'])	✅ Completed	Fully implemented and tested	2025-11-17
`Nexus\Crm`	Business Requirements	BUS-CRM-0044	All state changes must be ACID-compliant				
`Nexus\FieldService`	Business Requirements	BUS-FIE-0045	Cannot assign work order to technician without required skills				
`Nexus\Manufacturing`	Business Requirements	BUS-MAN-0046	BOM components cannot reference the parent product (circular BOM prevention)				
`Nexus\Marketing`	Business Requirements	BUS-MAR-0047	All state changes must be ACID transactions				
`Nexus\Procurement`	Business Requirements	BUS-PRO-0048	Requisition total estimate MUST equal sum of line item estimates				
`Nexus\ProjectManagement`	Business Requirements	BUS-PRO-0049	A task MUST belong to a project				
`Nexus\Sequencing`	Business Requirements	BUS-SEQ-0050	A generated number must be immutable. Once generated and consumed, it cannot be changed	packages/Sequencing/src/Services/SequenceManager.php	✅ Completed	Fully implemented and tested	2025-11-17
`Nexus\Crm`	Business Requirements	BUS-CRM-0051	Stale leads auto-escalate after configured timeout				
`Nexus\FieldService`	Business Requirements	BUS-FIE-0052	Cannot start work order without assignment to technician				
`Nexus\Manufacturing`	Business Requirements	BUS-MAN-0053	Only one BOM per product can be active at a time				
`Nexus\Marketing`	Business Requirements	BUS-MAR-0054	Low ROI campaigns auto-escalate after configured threshold				
`Nexus\Procurement`	Business Requirements	BUS-PRO-0055	Approved requisitions cannot be edited (only cancelled)				
`Nexus\ProjectManagement`	Business Requirements	BUS-PRO-0056	Timesheet hours cannot be negative or exceed 24 hours per day per user				
`Nexus\Sequencing`	Business Requirements	BUS-SEQ-0057	Pattern variables must be padded if a padding size is specified in the pattern (e.g., {COUNTER:5})	packages/Sequencing/src/Services/PatternParser.php, packages/Sequencing/src/ValueObjects/PatternVariable.php	✅ Completed	Fully implemented and tested	2025-11-17
`Nexus\Crm`	Business Requirements	BUS-CRM-0058	Compensation activities execute in reverse order				
`Nexus\FieldService`	Business Requirements	BUS-FIE-0059	Work order can only be completed if all critical checklist items pass				
`Nexus\Manufacturing`	Business Requirements	BUS-MAN-0060	Work order quantity completed + quantity scrapped cannot exceed quantity ordered				
`Nexus\Marketing`	Business Requirements	BUS-MAR-0061	Compensation actions execute in reverse order of original actions				
`Nexus\Procurement`	Business Requirements	BUS-PRO-0062	A purchase order MUST reference an approved requisition OR be explicitly marked as direct PO				
`Nexus\ProjectManagement`	Business Requirements	BUS-PRO-0063	Approved timesheets are immutable (cannot be edited or deleted)				
`Nexus\Sequencing`	Business Requirements	BUS-SEQ-0064	The manual override of a sequence value must be greater than the last generated number	packages/Sequencing/src/Services/CounterService.php::validateOverrideValue()	✅ Completed	Fully implemented and tested	2025-11-17
`Nexus\Crm`	Business Requirements	BUS-CRM-0065	Delegation chain maximum depth: 3 levels				
`Nexus\FieldService`	Business Requirements	BUS-FIE-0066	Parts consumption auto-deducts from technician van stock first, then warehouse				
`Nexus\Manufacturing`	Business Requirements	BUS-MAN-0067	Materials can only be issued to work orders in "released" or "in_production" status				
`Nexus\Marketing`	Business Requirements	BUS-MAR-0068	Delegation chain maximum depth: 3 levels				
`Nexus\Procurement`	Business Requirements	BUS-PRO-0069	PO total amount MUST NOT exceed requisition approved amount by more than 10% without re-approval				
`Nexus\ProjectManagement`	Business Requirements	BUS-PRO-0070	A task's actual hours MUST equal the sum of all approved timesheet hours for that task				
`Nexus\Sequencing`	Business Requirements	BUS-SEQ-0071	The counter is only incremented *after* a successful database lock and generation, not during preview	packages/Sequencing/src/Services/SequenceManager.php::preview()	✅ Completed	Fully implemented and tested	2025-11-17
`Nexus\Crm`	Business Requirements	BUS-CRM-0072	Level 1 code remains compatible after Level 2/3 upgrades				
`Nexus\FieldService`	Business Requirements	BUS-FIE-0073	Service report can only be generated after work order is completed				
`Nexus\Manufacturing`	Business Requirements	BUS-MAN-0074	Work order cannot be completed if material allocations are not fulfilled				
`Nexus\Marketing`	Business Requirements	BUS-MAR-0075	Phase 1 configurations remain compatible with Phase 2/3				
`Nexus\Procurement`	Business Requirements	BUS-PRO-0076	GRN quantity cannot exceed PO quantity for any line item				
`Nexus\ProjectManagement`	Business Requirements	BUS-PRO-0077	Milestone billing amount cannot exceed remaining project budget (for fixed-price projects)				
`Nexus\Sequencing`	Business Requirements	BUS-SEQ-0078	The package is only responsible for the Unique Base Identifier. Sub-identifiers (copies, versions, spawns) are the responsibility of the application layer	packages/Sequencing/src/Services/SequenceManager.php::composeChild()	✅ Completed	Fully implemented and tested	2025-11-17				
`Nexus\Crm`	Business Requirements	BUS-CRM-0079	One CRM instance per subject model				
`Nexus\FieldService`	Business Requirements	BUS-FIE-0080	Customer signature is required before work order can be marked verified				
`Nexus\Manufacturing`	Business Requirements	BUS-MAN-0081	Operation sequence must be sequential (operation 10 before operation 20)				
`Nexus\Marketing`	Business Requirements	BUS-MAR-0082	One marketing instance per model/entity				
`Nexus\Procurement`	Business Requirements	BUS-PRO-0083	3-way match tolerance rules are configurable per tenant				
`Nexus\ProjectManagement`	Business Requirements	BUS-PRO-0084	Resource allocation percentage cannot exceed 100% per user per day				
`Nexus\Crm`	Business Requirements	BUS-CRM-0085	Parallel branches must all complete before proceeding				
`Nexus\FieldService`	Business Requirements	BUS-FIE-0086	SLA deadlines calculated from service contract terms				
`Nexus\Manufacturing`	Business Requirements	BUS-MAN-0087	Inspection must pass before work order can be completed				
`Nexus\Marketing`	Business Requirements	BUS-MAR-0088	Parallel channels must all complete before proceeding				
`Nexus\Procurement`	Business Requirements	BUS-PRO-0089	Payment authorization requires successful 3-way match OR manual override by authorized user				
`Nexus\ProjectManagement`	Business Requirements	BUS-PRO-0090	Task dependencies must not create circular references				
`Nexus\Crm`	Business Requirements	BUS-CRM-0091	Assignment checks delegation chain first				
`Nexus\FieldService`	Business Requirements	BUS-FIE-0092	SLA breach triggers escalation workflow (notify manager, auto-reassign)				
`Nexus\Manufacturing`	Business Requirements	BUS-MAN-0093	Quarantined batches cannot be used in production or sold				
`Nexus\Marketing`	Business Requirements	BUS-MAR-0094	Campaign assignment checks delegation chain first				
`Nexus\Procurement`	Business Requirements	BUS-PRO-0095	Requester cannot approve their own requisition				
`Nexus\ProjectManagement`	Business Requirements	BUS-PRO-0096	Project status cannot be "completed" if there are incomplete tasks				
`Nexus\FieldService`	Business Requirements	BUS-FIE-0097	Preventive maintenance work orders auto-generated 7 days before due date				
`Nexus\Manufacturing`	Business Requirements	BUS-MAN-0098	Standard cost must be calculated before work order release				
`Nexus\Marketing`	Business Requirements	BUS-MAR-0099	Multi-team approval uses configured strategy				
`Nexus\Procurement`	Business Requirements	BUS-PRO-0100	PO creator cannot create GRN for the same PO				
`Nexus\ProjectManagement`	Business Requirements	BUS-PRO-0101	Timesheet billing rate defaults to resource allocation rate for the project				
`Nexus\FieldService`	Business Requirements	BUS-FIE-0102	Cannot schedule technician beyond their daily capacity (8 hours default)				
`Nexus\Manufacturing`	Business Requirements	BUS-MAN-0103	MRP must consider safety stock levels when calculating net requirements				
`Nexus\Marketing`	Business Requirements	BUS-MAR-0104	GDPR consent required for EU leads				
`Nexus\Procurement`	Business Requirements	BUS-PRO-0105	GRN creator cannot authorize payment for the same PO				
`Nexus\ProjectManagement`	Business Requirements	BUS-PRO-0106	Client stakeholders can view only their own projects				
`Nexus\FieldService`	Business Requirements	BUS-FIE-0107	GPS location capture required when starting/ending job				
`Nexus\Manufacturing`	Business Requirements	BUS-MAN-0108	Batch genealogy must be captured for all regulated products (pharma, food)				
`Nexus\Marketing`	Business Requirements	BUS-MAR-0109	Unsubscribe respected across all campaigns				
`Nexus\Procurement`	Business Requirements	BUS-PRO-0110	Blanket PO releases cannot exceed blanket PO total committed value				
`Nexus\ProjectManagement`	Business Requirements	BUS-PRO-0111	Revenue recognition for fixed-price projects based on % completion or milestone approval				
`Nexus\FieldService`	Business Requirements	BUS-FIE-0112	Asset must have maintenance schedule if covered by service contract				
`Nexus\Manufacturing`	Business Requirements	BUS-MAN-0113	Lot/serial numbers must be unique across all tenants (globally unique)				
`Nexus\Marketing`	Business Requirements	BUS-MAR-0114	Lead scoring updates trigger segment recalculation				
`Nexus\Procurement`	Business Requirements	BUS-PRO-0115	Vendor quote must be submitted before RFQ deadline to be considered valid				
`Nexus\ProjectManagement`	Business Requirements	BUS-PRO-0116	Earned value calculations require baseline (planned) values to be set				
`Nexus\FieldService`	Business Requirements	BUS-FIE-0117	Expired service contracts prevent new work order creation (unless emergency)				
`Nexus\Manufacturing`	Business Requirements	BUS-MAN-0118	Work center capacity cannot be exceeded without approval				
`Nexus\Marketing`	Business Requirements	BUS-MAR-0119	A/B test traffic distribution must total 100%				
`Nexus\Procurement`	Business Requirements	BUS-PRO-0120	Tax calculation based on vendor jurisdiction and tax codes from nexus-tax-management				
`Nexus\ProjectManagement`	Business Requirements	BUS-PRO-0121	Lessons learned can only be created after project status = completed or cancelled				
`Nexus\FieldService`	Business Requirements	BUS-FIE-0122	Route optimization respects job time windows (scheduled start/end times)				
`Nexus\Manufacturing`	Business Requirements	BUS-MAN-0123	Routing operations must reference active work centers				
`Nexus\Procurement`	Business Requirements	BUS-PRO-0124	All procurement amounts must be in tenant's base currency OR converted at transaction date exchange rate				
`Nexus\ProjectManagement`	Business Requirements	BUS-PRO-0125	Timesheet approval requires user to have approve-timesheet permission for the project				
`Nexus\Accounting`	Business Requirements	BUS-ACC-0126	All journal entries MUST be balanced (debit = credit) before posting				
`Nexus\Accounting`	Business Requirements	BUS-ACC-0127	Posted entries cannot be modified; only reversed with offsetting entries				
`Nexus\Accounting`	Business Requirements	BUS-ACC-0128	Prevent deletion of accounts with associated transactions or child accounts				
`Nexus\Accounting`	Business Requirements	BUS-ACC-0129	Account codes MUST be unique within tenant scope				
`Nexus\Accounting`	Business Requirements	BUS-ACC-0130	Only leaf accounts (no children) can have transactions posted to them				
`Nexus\Accounting`	Business Requirements	BUS-ACC-0131	Entries can only be posted to active fiscal periods; closed periods reject entries				
`Nexus\Accounting`	Business Requirements	BUS-ACC-0132	Foreign currency transactions MUST record both base and foreign amounts with exchange rate				
`Nexus\Accounting`	Business Requirements	BUS-ACC-0133	Three-way matching required for vendor invoice posting (PO, GR, Invoice)				
`Nexus\Accounting`	Business Requirements	BUS-ACC-0134	Customer payments MUST be allocated to specific invoices for proper aging tracking				
`Nexus\Analytics`	Business Requirements	BUS-ANA-0135	Users cannot view sensitive data about themselves				
`Nexus\Analytics`	Business Requirements	BUS-ANA-0136	All query executions MUST use ACID transactions				
`Nexus\Analytics`	Business Requirements	BUS-ANA-0137	Predictive model drift MUST trigger automatic alerts				
`Nexus\Analytics`	Business Requirements	BUS-ANA-0138	Failed queries MUST use compensation actions for reversal				
`Nexus\Analytics`	Business Requirements	BUS-ANA-0139	Delegation chains limited to maximum 3 levels depth				
`Nexus\Analytics`	Business Requirements	BUS-ANA-0140	Level 1 definitions MUST remain compatible after L2/3 upgrade				
`Nexus\Analytics`	Business Requirements	BUS-ANA-0141	Each model instance has one analytics instance				
`Nexus\Analytics`	Business Requirements	BUS-ANA-0142	Parallel data sources MUST complete all before returning results				
`Nexus\Analytics`	Business Requirements	BUS-ANA-0143	Delegated access MUST check delegation chain for permissions				
`Nexus\Analytics`	Business Requirements	BUS-ANA-0144	Multi-role sharing follows configured strategy (unison/selective)				
`Nexus\AuditLogger`	Business Requirements	BUS-AUD-0145	Audit logs MUST include log_name, description, and timestamp at minimum				
`Nexus\AuditLogger`	Business Requirements	BUS-AUD-0146	Audit level MUST be one of: 1 (Low), 2 (Medium), 3 (High), 4 (Critical)				
`Nexus\AuditLogger`	Business Requirements	BUS-AUD-0147	Retention days CANNOT be negative; default retention is 90 days				
`Nexus\AuditLogger`	Business Requirements	BUS-AUD-0148	System activities (cron jobs, queue workers, CLI commands) are logged with causer_type = null				
`Nexus\AuditLogger`	Business Requirements	BUS-AUD-0149	High-value entity changes (users, roles, permissions, financial records) default to Critical level				
`Nexus\AuditLogger`	Business Requirements	BUS-AUD-0150	Batch operations MUST use a single batch_uuid to group related logs				
`Nexus\AuditLogger`	Business Requirements	BUS-AUD-0151	Expired logs (past retention period) are purged automatically via scheduled job				
`Nexus\Backoffice`	Business Requirements	BUS-BAC-0152	Parent company must be active to have active children				
`Nexus\Backoffice`	Business Requirements	BUS-BAC-0153	Office hierarchy cannot exceed company boundaries				
`Nexus\Backoffice`	Business Requirements	BUS-BAC-0154	Department hierarchy independent of office structure				
`Nexus\Backoffice`	Business Requirements	BUS-BAC-0155	Staff can only have one primary supervisor per company				
`Nexus\Backoffice`	Business Requirements	BUS-BAC-0156	Supervisor must be in same or parent organizational unit				
`Nexus\Backoffice`	Business Requirements	BUS-BAC-0157	Staff transfer requires approval from authorized users				
`Nexus\Backoffice`	Business Requirements	BUS-BAC-0158	Transfer effective dates cannot be retroactive beyond 30 days				
`Nexus\Backoffice`	Business Requirements	BUS-BAC-0159	Unit membership transcends traditional hierarchy boundaries				
`Nexus\Backoffice`	Business Requirements	BUS-BAC-0160	Staff codes must be unique system-wide				
`Nexus\Backoffice`	Business Requirements	BUS-BAC-0161	Company codes must be unique across the system				
`Nexus\Hrm`	Business Requirements	BUS-HRM-0162	Employees MUST have active contract before leave accrual begins				
`Nexus\Hrm`	Business Requirements	BUS-HRM-0163	Leave requests CANNOT exceed available balance unless negative balance policy enabled				
`Nexus\Hrm`	Business Requirements	BUS-HRM-0164	Probation completion required before permanent leave entitlements activate				
`Nexus\Hrm`	Business Requirements	BUS-HRM-0165	Attendance records MUST NOT overlap for same employee (prevent duplicate clock-ins)				
`Nexus\Hrm`	Business Requirements	BUS-HRM-0166	Performance reviews MUST be conducted by employee's direct manager or authorized delegate				
`Nexus\Hrm`	Business Requirements	BUS-HRM-0167	Disciplinary actions require documented evidence and approval workflow completion				
`Nexus\Hrm`	Business Requirements	BUS-HRM-0168	Training certifications with expiry dates trigger automatic reminders 30 days before expiry				
`Nexus\Hrm`	Business Requirements	BUS-HRM-0169	Employee termination MUST trigger automatic leave balance calculation and final settlement				
`Nexus\Payroll`	Business Requirements	BUS-PAY-0170	PCB calculations MUST use exact LHDN rounding rules (to nearest sen) to match tax department calculations				
`Nexus\Payroll`	Business Requirements	BUS-PAY-0171	Pay runs MUST be locked after completion to prevent accidental modifications				
`Nexus\Payroll`	Business Requirements	BUS-PAY-0172	Only locked pay runs can generate payslips and post to accounting				
`Nexus\Payroll`	Business Requirements	BUS-PAY-0173	Retroactive recalculations MUST recalculate all months from change date forward				
`Nexus\Payroll`	Business Requirements	BUS-PAY-0174	EPF contributions CANNOT exceed statutory ceiling (RM5,000 salary base as of 2025)				
`Nexus\Payroll`	Business Requirements	BUS-PAY-0175	SOCSO eligibility ends at age 60 for new contributors (existing contributors continue)				
`Nexus\Payroll`	Business Requirements	BUS-PAY-0176	EIS contributions required for employees earning below RM4,000 per month				
`Nexus\Payroll`	Business Requirements	BUS-PAY-0177	Payslip data MUST be immutable once generated (regeneration creates new record)				
`Nexus\Payroll`	Business Requirements	BUS-PAY-0178	Additional remuneration MUST use special PCB calculation tables from LHDN				
`Nexus\Accounting`	Functional Requirement	FUN-ACC-0179	Maintain hierarchical chart of accounts with unlimited depth using nested set model				
`Nexus\Accounting`	Functional Requirement	FUN-ACC-0180	Support 5 standard account types (Asset, Liability, Equity, Revenue, Expense) with type inheritance				
`Nexus\Accounting`	Functional Requirement	FUN-ACC-0181	Allow tagging accounts by category and reporting group for financial statement organization				
`Nexus\Accounting`	Functional Requirement	FUN-ACC-0182	Support flexible account code format (e.g., 1000-00, 1.1.1) per tenant configuration				
`Nexus\Accounting`	Functional Requirement	FUN-ACC-0183	Provide account activation/deactivation without deletion to preserve history				
`Nexus\Accounting`	Functional Requirement	FUN-ACC-0184	Support account templates for quick COA setup (manufacturing, retail, services)				
`Nexus\AuditLogger`	Functional Requirement	FUN-AUD-0185	Automatically capture CRUD operations (create, read, update, delete) for auditable models				
`Nexus\AuditLogger`	Functional Requirement	FUN-AUD-0186	Record before/after state for all model updates				
`Nexus\AuditLogger`	Functional Requirement	FUN-AUD-0187	Capture user context (who performed the action) with IP address, user agent, and timestamp				
`Nexus\AuditLogger`	Functional Requirement	FUN-AUD-0188	Support tenant-based isolation of audit logs				
`Nexus\AuditLogger`	Functional Requirement	FUN-AUD-0189	Provide full-text search across descriptions and properties				
`Nexus\AuditLogger`	Functional Requirement	FUN-AUD-0190	Filter logs by date range, user, entity type, entity ID, and event type				
`Nexus\AuditLogger`	Functional Requirement	FUN-AUD-0191	Export audit logs to CSV, JSON, and PDF formats				
`Nexus\AuditLogger`	Functional Requirement	FUN-AUD-0192	Mask sensitive fields (passwords, tokens, secrets) automatically				
`Nexus\AuditLogger`	Functional Requirement	FUN-AUD-0193	Support batch operations with UUID grouping for related activities				
`Nexus\AuditLogger`	Functional Requirement	FUN-AUD-0194	Configurable retention policies with automated purging of expired logs				
`Nexus\AuditLogger`	Functional Requirement	FUN-AUD-0195	Support multiple audit levels (Low, Medium, High, Critical) for risk-based filtering				
`Nexus\AuditLogger`	Functional Requirement	FUN-AUD-0196	Asynchronous logging via queue to prevent performance impact				
`Nexus\AuditLogger`	Functional Requirement	FUN-AUD-0197	Event-driven architecture with notifications for high-value activities				
`Nexus\AuditLogger`	Functional Requirement	FUN-AUD-0198	RESTful API endpoints for log retrieval, search, and export				
`Nexus\AuditLogger`	Functional Requirement	FUN-AUD-0199	Activity statistics and reporting (total counts, counts by log name, trends over time)				
`Nexus\AuditLogger`	Functional Requirement	FUN-AUD-0200	43 total requirements documented (15 FR + 5 PR + 6 SR + 7 BR + 10 ARCH)				
`Nexus\Backoffice`	Functional Requirement	FUN-BAC-0201	Company hierarchy management with multi-level parent-child relationships				
`Nexus\Backoffice`	Functional Requirement	FUN-BAC-0202	Department structure management independent of physical office locations				
`Nexus\Backoffice`	Functional Requirement	FUN-BAC-0203	Staff management with flexible assignment to offices and/or departments				
`Nexus\Backoffice`	Functional Requirement	FUN-BAC-0204	Unit and matrix organization for cross-functional staff groupings				
`Nexus\Backoffice`	Functional Requirement	FUN-BAC-0205	Staff transfer management with approval workflows and effective date scheduling				
`Nexus\Backoffice`	Functional Requirement	FUN-BAC-0206	Organizational chart generation with multiple visualization formats				
`Nexus\Backoffice`	Functional Requirement	FUN-BAC-0207	Position and role management within organizational structure				
`Nexus\Backoffice`	Functional Requirement	FUN-BAC-0208	Office type categorization and management				
`Nexus\Backoffice`	Functional Requirement	FUN-BAC-0209	Circular reference prevention in hierarchies				
`Nexus\Sequencing`	Functional Requirement	FUN-SEQ-0210	Provide a framework-agnostic core (Nexus\Sequencing\Core) containing all generation and counter logic	packages/Sequencing/src/Services/	✅ Completed	Fully implemented and tested	2025-11-17
`Nexus\Sequencing`	Functional Requirement	FUN-SEQ-0211	Implement atomic number generation using database-level locking (SELECT FOR UPDATE)	apps/Atomy/app/Repositories/DbCounterRepository.php::getCurrentValueWithLock()	✅ Completed	Fully implemented and tested	2025-11-17
`Nexus\Sequencing`	Functional Requirement	FUN-SEQ-0212	Ensure generation is transaction-safe and rolls back counter increment if calling transaction fails	apps/Atomy/app/Repositories/DbCounterRepository.php	✅ Completed	Fully implemented and tested	2025-11-17
`Nexus\Sequencing`	Functional Requirement	FUN-SEQ-0213	Support built-in pattern variables (e.g., {YEAR}, {MONTH}, {COUNTER}) and custom context variables (e.g., {DEPARTMENT})	packages/Sequencing/src/Services/PatternParser.php	✅ Completed	Fully implemented and tested	2025-11-17
`Nexus\Sequencing`	Functional Requirement	FUN-SEQ-0214	Implement the ability to preview the next number without consuming the counter	packages/Sequencing/src/Services/SequenceManager.php::preview()	✅ Completed	Fully implemented and tested	2025-11-17
`Nexus\Sequencing`	Functional Requirement	FUN-SEQ-0215	Implement logic for Daily, Monthly, Yearly, and Never counter resets	packages/Sequencing/src/ValueObjects/ResetPeriod.php, apps/Atomy/app/Repositories/DbCounterRepository.php::needsReset()	✅ Completed	Fully implemented and tested	2025-11-17
`Nexus\Sequencing`	Functional Requirement	FUN-SEQ-0216	Implement a ValidateSerialNumberService to check if a given number matches a pattern's Regex and inherent variable formats	packages/Sequencing/src/Services/SequenceValidationService.php::validateNumber()	✅ Completed	Fully implemented and tested	2025-11-17
`Nexus\Sequencing`	Functional Requirement	FUN-SEQ-0217	Sequence definition must allow configuring a step_size (defaulting to 1) for custom counter increments	apps/Atomy/app/Models/Sequence.php::step_size	✅ Completed	Fully implemented and tested	2025-11-17
`Nexus\Sequencing`	Functional Requirement	FUN-SEQ-0218	Sequence definition must support a reset_limit (integer) for custom counter resets based on count, not time	apps/Atomy/app/Models/Sequence.php::reset_limit	✅ Completed	Fully implemented and tested	2025-11-17
`Nexus\Sequencing`	Functional Requirement	FUN-SEQ-0219	Preview Service must expose the remaining count until the next reset period or limit is reached	packages/Sequencing/src/Services/CounterService.php::getRemainingUntilReset()	✅ Completed	Fully implemented and tested	2025-11-17				
`Nexus\Crm`	Functional Requirement	FUN-CRM-0220	Custom integrations				
`Nexus\Crm`	Functional Requirement	FUN-CRM-0221	Custom conditions				
`Nexus\Crm`	Functional Requirement	FUN-CRM-0222	Custom strategies				
